https://stats.fm/track/12314858,12314858,30,"Lifestyle (Jason Derulo ft. Adam Levine) by Jason Derulo, Adam Levine & Maroon 5"
https://stats.fm/track/1294593,1294593,29,"You by Regard, Troye Sivan & Tate McRae"
https://stats.fm/track/941449,941449,28,"NOT SOBER (feat. Polo G & Stunna Gambino) by The Kid LAROI, Polo G & Stunna Gambino"
https://stats.fm/track/6459514,6459514,26,I Warned Myself by Charlie Puth
https://stats.fm/track/12981442,12981442,25,Ride Or Die by Lil Baby & Bite Da Don
https://stats.fm/track/552659,552659,24,Ain't Your Mama by Jennifer Lopez
https://stats.fm/track/43004,43004,23,Don't Stop 'Til You Get Enough by Michael Jackson
https://stats.fm/track/357779,357779,23,"Whenever, Wherever by Shakira"
https://stats.fm/track/299885,299885,22,Beautiful Trauma by P!nk
https://stats.fm/track/3519942,3519942,21,This Is What You Came For (feat. Rihanna) by Calvin Harris
https://stats.fm/track/13307575,13307575,21,"How Far I'll Go - From ""Moana"" by Alessia Cara"
https://stats.fm/track/75758027,75758027,20,Paint The Town Red by Doja Cat
https://stats.fm/track/935472,935472,19,Undefeated by Jason Derulo
https://stats.fm/track/6549470,6549470,19,"How Deep Is Your Love - Calvin Harris & R3hab Remix by Calvin Harris, Disciples & R3HAB"
https://stats.fm/track/8885231,8885231,19,Кабриолет by Leningrad
https://stats.fm/track/9103585,9103585,19,"No Flex Zone - Remix by Rae Sremmurd, Nicki Minaj & Pusha T"
https://stats.fm/track/42912640,42912640,19,Good Love (feat. Usher) by City Girls & USHER
https://stats.fm/track/326222,326222,18,Hot N Cold by Katy Perry
https://stats.fm/track/673135,673135,18,This Girl (Kungs Vs. Cookin' On 3 Burners) by Kungs & Cookin' On 3 Burners
https://stats.fm/track/1982575,1982575,18,Cry For You by September
https://stats.fm/track/4844,4844,17,Counting Stars by OneRepublic
https://stats.fm/track/250100,250100,17,We R Who We R by Kesha
https://stats.fm/track/355226,355226,17,Bleeding Love by Leona Lewis
https://stats.fm/track/587711,587711,17,Walking On Air by Katy Perry & Katy Perrody
https://stats.fm/track/3953840,3953840,17,Dick (feat. Doja Cat) by StarBoi3 & Doja Cat
https://stats.fm/track/10188966,10188966,17,Can We Pretend (feat. Cash Cash) by P!nk & Cash Cash
https://stats.fm/track/36233044,36233044,17,Vegas (From the Original Motion Picture Soundtrack ELVIS) by Doja Cat
https://stats.fm/track/1946,1946,16,"Let's Groove by Earth, Wind & Fire"
https://stats.fm/track/41470,41470,16,1-800-273-8255 by Logic
https://stats.fm/track/85570,85570,16,Rack City by Tyga
